"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204330","TestBootstrapSuite/TestBootstrapWithLastResortDisabled","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","15080","TestTelemetrySuite/TestDeviceMetrics","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","472530","TestBootstrapSuite/TestBootstrapWithNetworkBoot","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","591860","TestApplicationConnectivitySuite/TestNICCountChange","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","177700","TestBootstrapSuite/TestBootstrapWithManualProxyConfig","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","237900","TestSecuritySuite/TestAppArmorEnabled","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","43580","TestApplicationConnectivitySuite/TestNIReplace","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","36710","TestDatastoreSuite/TestSFTPDatastore","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","85440","TestDeviceConnectivitySuite/TestStaticIPv4Only","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","11439330","TestNodeClusterSuite","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","165570","TestBootstrapSuite/TestBootstrapWithLastResortEnabled","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","373860","TestDeviceConnectivitySuite/TestDeviceIPv6Connectivity","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","5466060","TestUpgradeSuite","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/upgrade","github.com/lf-edge/eve/evetest/tests/upgrade",""
"","186500","TestApplicationConnectivitySuite/TestNICCountChangeOrderedInterface","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","27590","TestPcibackErrorSuite/TestReportWarningPlusError","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","283340","TestTelemetrySuite/TestDeviceInfo","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","166430","TestBootstrapSuite/TestBootstrapWithAutoDiscoveredProxyUsingOverrideJSON","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","2580130","TestNodeClusterSuite/TestClusterToSingleConversion","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","2155750","TestUpgradeSuite/TestEVEUpgradeKVMtoKVMWithOCIDatastore","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/upgrade","github.com/lf-edge/eve/evetest/tests/upgrade",""
"","45160","TestTelemetrySuite/TestEmptyConfig","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","684110","TestDeviceConnectivitySuite/TestPNACWithProxy","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","169710","TestBootstrapSuite/TestBootstrapWithMgmtVLAN","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
